threshold,strategy,net_benefit,model
0.005,O,0.006273141847611059,O
0.01,O,0.0031637912813616362,O
0.015,O,0.0017401981696367466,O
0.02,O,0.0015498152871517479,O
0.025,O,0.0005991296836383613,O
0.03,O,0.00020415872042818116,O
0.035,O,0.0003216560783957403,O
0.04,O,0.00010700929910953898,O
0.045,O,0.0001130913009035983,O
0.05,O,2.5274198573641243e-06,O
0.055,O,-2.00946559299213e-05,O
0.06,O,-2.8768608700549403e-05,O
0.065,O,-1.3428281066490212e-05,O
0.07,O,0.0,O
0.075,O,0.0,O
0.08,O,0.0,O
0.085,O,0.0,O
0.09,O,0.0,O
0.095,O,0.0,O
0.1,O,0.0,O
0.005,Treat all,0.006241798551143684,O
0.01,Treat all,0.0012228177357454188,O
0.015,Treat all,-0.0038471171996061256,O
0.02,Treat all,-0.00896878616491024,O
0.025,Treat all,-0.01414298506832004,O
0.03,Treat all,-0.019370526228466016,O
0.035,Treat all,-0.024652238799597964,O
0.04,Treat all,-0.02998896921001254,O
0.045,Treat all,-0.03538158161425344,O
0.05,Treat all,-0.04083095835959162,O
0.055,Treat all,-0.04633800046731432,O
0.06,Treat all,-0.051903628129374504,O
0.065,Treat all,-0.05752878122097543,O
0.07,Treat all,-0.06321441982969038,O
0.075,Treat all,-0.06896152480174272,O
0.08,Treat all,-0.07477109830610003,O
0.085,Treat all,-0.08064416441706233,O
0.09,Treat all,-0.08658176971605717,O
0.095,Treat all,-0.09258498391338346,O
0.1,Treat all,-0.09865490049068004,O
0.005,Treat none,0.0,O
0.01,Treat none,0.0,O
0.015,Treat none,0.0,O
0.02,Treat none,0.0,O
0.025,Treat none,0.0,O
0.03,Treat none,0.0,O
0.035,Treat none,0.0,O
0.04,Treat none,0.0,O
0.045,Treat none,0.0,O
0.05,Treat none,0.0,O
0.055,Treat none,0.0,O
0.06,Treat none,0.0,O
0.065,Treat none,0.0,O
0.07,Treat none,0.0,O
0.075,Treat none,0.0,O
0.08,Treat none,0.0,O
0.085,Treat none,0.0,O
0.09,Treat none,0.0,O
0.095,Treat none,0.0,O
0.1,Treat none,0.0,O
0.005,O+Q,0.006692817626032039,O+Q
0.01,O+Q,0.004301541032839197,O+Q
0.015,O+Q,0.0027905943675973835,O+Q
0.02,O+Q,0.0019556793836272767,O+Q
0.025,O+Q,0.0015277468727098223,O+Q
0.03,O+Q,0.001208198421577105,O+Q
0.035,O+Q,0.0008527119997610834,O+Q
0.04,O+Q,0.0005141109599865631,O+Q
0.045,O+Q,0.0004915479459732428,O+Q
0.05,O+Q,0.0003241482742567319,O+Q
0.055,O+Q,0.00023643344886559615,O+Q
0.06,O+Q,0.00019226468517503651,O+Q
0.065,O+Q,0.0002474796084691646,O+Q
0.07,O+Q,0.00022449332669150182,O+Q
0.075,O+Q,0.00019913896691236706,O+Q
0.08,O+Q,8.189685368785877e-05,O+Q
0.085,O+Q,8.516153133463312e-06,O+Q
0.09,O+Q,-5.094347035199329e-05,O+Q
0.095,O+Q,-3.379422200682796e-05,O+Q
0.1,O+Q,-3.5770492299624926e-05,O+Q
0.005,Treat all,0.006241798551143684,O+Q
0.01,Treat all,0.0012228177357454188,O+Q
0.015,Treat all,-0.0038471171996061256,O+Q
0.02,Treat all,-0.00896878616491024,O+Q
0.025,Treat all,-0.01414298506832004,O+Q
0.03,Treat all,-0.019370526228466016,O+Q
0.035,Treat all,-0.024652238799597964,O+Q
0.04,Treat all,-0.02998896921001254,O+Q
0.045,Treat all,-0.03538158161425344,O+Q
0.05,Treat all,-0.04083095835959162,O+Q
0.055,Treat all,-0.04633800046731432,O+Q
0.06,Treat all,-0.051903628129374504,O+Q
0.065,Treat all,-0.05752878122097543,O+Q
0.07,Treat all,-0.06321441982969038,O+Q
0.075,Treat all,-0.06896152480174272,O+Q
0.08,Treat all,-0.07477109830610003,O+Q
0.085,Treat all,-0.08064416441706233,O+Q
0.09,Treat all,-0.08658176971605717,O+Q
0.095,Treat all,-0.09258498391338346,O+Q
0.1,Treat all,-0.09865490049068004,O+Q
0.005,Treat none,0.0,O+Q
0.01,Treat none,0.0,O+Q
0.015,Treat none,0.0,O+Q
0.02,Treat none,0.0,O+Q
0.025,Treat none,0.0,O+Q
0.03,Treat none,0.0,O+Q
0.035,Treat none,0.0,O+Q
0.04,Treat none,0.0,O+Q
0.045,Treat none,0.0,O+Q
0.05,Treat none,0.0,O+Q
0.055,Treat none,0.0,O+Q
0.06,Treat none,0.0,O+Q
0.065,Treat none,0.0,O+Q
0.07,Treat none,0.0,O+Q
0.075,Treat none,0.0,O+Q
0.08,Treat none,0.0,O+Q
0.085,Treat none,0.0,O+Q
0.09,Treat none,0.0,O+Q
0.095,Treat none,0.0,O+Q
0.1,Treat none,0.0,O+Q
0.005,S,0.006189857227192654,S
0.01,S,0.0023531026502386894,S
0.015,S,0.0008894707796990556,S
0.02,S,0.00027251809964444983,S
0.025,S,-5.990568145233322e-06,S
0.03,S,-3.2315749686988695e-06,S
0.035,S,3.6463245721334725e-05,S
0.04,S,1.3771163298882812e-05,S
0.045,S,-1.8127231966554876e-05,S
0.05,S,-3.986601420111804e-06,S
0.055,S,1.1325679494113602e-05,S
0.06,S,-4.931761491522756e-05,S
0.065,S,-3.13326558218105e-05,S
0.07,S,-1.4538974289524974e-05,S
0.075,S,-1.5661675006862804e-05,S
0.08,S,-1.6796578992867356e-05,S
0.085,S,-5.9812954337077745e-06,S
0.09,S,-6.3679337939991615e-06,S
0.095,S,-6.758844401365593e-06,S
0.1,S,0.0,S
0.005,Treat all,0.006241798551143684,S
0.01,Treat all,0.0012228177357454188,S
0.015,Treat all,-0.0038471171996061256,S
0.02,Treat all,-0.00896878616491024,S
0.025,Treat all,-0.01414298506832004,S
0.03,Treat all,-0.019370526228466016,S
0.035,Treat all,-0.024652238799597964,S
0.04,Treat all,-0.02998896921001254,S
0.045,Treat all,-0.03538158161425344,S
0.05,Treat all,-0.04083095835959162,S
0.055,Treat all,-0.04633800046731432,S
0.06,Treat all,-0.051903628129374504,S
0.065,Treat all,-0.05752878122097543,S
0.07,Treat all,-0.06321441982969038,S
0.075,Treat all,-0.06896152480174272,S
0.08,Treat all,-0.07477109830610003,S
0.085,Treat all,-0.08064416441706233,S
0.09,Treat all,-0.08658176971605717,S
0.095,Treat all,-0.09258498391338346,S
0.1,Treat all,-0.09865490049068004,S
0.005,Treat none,0.0,S
0.01,Treat none,0.0,S
0.015,Treat none,0.0,S
0.02,Treat none,0.0,S
0.025,Treat none,0.0,S
0.03,Treat none,0.0,S
0.035,Treat none,0.0,S
0.04,Treat none,0.0,S
0.045,Treat none,0.0,S
0.05,Treat none,0.0,S
0.055,Treat none,0.0,S
0.06,Treat none,0.0,S
0.065,Treat none,0.0,S
0.07,Treat none,0.0,S
0.075,Treat none,0.0,S
0.08,Treat none,0.0,S
0.085,Treat none,0.0,S
0.09,Treat none,0.0,S
0.095,Treat none,0.0,S
0.1,Treat none,0.0,S
0.005,O+S,0.006213881928323838,O+S
0.01,O+S,0.0034351286408206942,O+S
0.015,O+S,0.0019032265896316092,O+S
0.02,O+S,0.001249103138073762,O+S
0.025,O+S,0.0006292664785772339,O+S
0.03,O+S,0.00046085043106476186,O+S
0.035,O+S,0.00024402154700919036,O+S
0.04,O+S,3.1637200827471564e-06,O+S
0.045,O+S,-7.075769376622561e-05,O+S
0.05,O+S,-3.6213393046119415e-05,O+S
0.055,O+S,6.53189700014923e-06,O+S
0.06,O+S,-3.186628274504828e-05,O+S
0.065,O+S,-7.161749902128113e-05,O+S
0.07,O+S,-5.3309572394924896e-05,O+S
0.075,O+S,-5.2205583356209346e-05,O+S
0.08,O+S,-2.7994298321445593e-05,O+S
0.085,O+S,-2.3925181734831098e-05,O+S
0.09,O+S,-1.9103801381997488e-05,O+S
0.095,O+S,-2.027653320409678e-05,O+S
0.1,O+S,-1.430819691984997e-05,O+S
0.005,Treat all,0.006241798551143684,O+S
0.01,Treat all,0.0012228177357454188,O+S
0.015,Treat all,-0.0038471171996061256,O+S
0.02,Treat all,-0.00896878616491024,O+S
0.025,Treat all,-0.01414298506832004,O+S
0.03,Treat all,-0.019370526228466016,O+S
0.035,Treat all,-0.024652238799597964,O+S
0.04,Treat all,-0.02998896921001254,O+S
0.045,Treat all,-0.03538158161425344,O+S
0.05,Treat all,-0.04083095835959162,O+S
0.055,Treat all,-0.04633800046731432,O+S
0.06,Treat all,-0.051903628129374504,O+S
0.065,Treat all,-0.05752878122097543,O+S
0.07,Treat all,-0.06321441982969038,O+S
0.075,Treat all,-0.06896152480174272,O+S
0.08,Treat all,-0.07477109830610003,O+S
0.085,Treat all,-0.08064416441706233,O+S
0.09,Treat all,-0.08658176971605717,O+S
0.095,Treat all,-0.09258498391338346,O+S
0.1,Treat all,-0.09865490049068004,O+S
0.005,Treat none,0.0,O+S
0.01,Treat none,0.0,O+S
0.015,Treat none,0.0,O+S
0.02,Treat none,0.0,O+S
0.025,Treat none,0.0,O+S
0.03,Treat none,0.0,O+S
