threshold,strategy,net_benefit,model
0.02,O,0.05691042961035271,O
0.03,O,0.04641554651218313,O
0.04,O,0.037335693644498756,O
0.05,O,0.028375537345658057,O
0.06,O,0.020444761813142802,O
0.07,O,0.013648185635906883,O
0.08,O,0.0097189898047343,O
0.09,O,0.006426444147810455,O
0.1,O,0.0030544577772148272,O
0.11,O,0.0011612696295281166,O
0.12,O,4.5110110130740146e-05,O
0.13,O,-0.00010703706477936952,O
0.14,O,-0.00013635298647856633,O
0.15,O,2.826025111053428e-05,O
0.16,O,-7.66750458386205e-05,O
0.17,O,-2.7482923056613975e-05,O
0.18,O,0.0,O
0.19,O,0.0,O
0.2,O,0.0,O
0.21,O,0.0,O
0.22,O,0.0,O
0.23,O,0.0,O
0.24,O,0.0,O
0.25,O,0.0,O
0.26,O,0.0,O
0.27,O,0.0,O
0.28,O,0.0,O
0.29,O,0.0,O
0.3,O,0.0,O
0.31,O,0.0,O
0.32,O,0.0,O
0.33,O,0.0,O
0.34,O,0.0,O
0.35,O,0.0,O
0.02,Treat all,0.05723923549674738,O
0.03,Treat all,0.04752005235753859,O
0.04,Treat all,0.037598386236262944,O
0.05,Treat all,0.027467842933486766,O
0.06,Treat all,0.017121756156183436,O
0.07,Treat all,0.006553172889045611,O
0.08,Treat all,-0.004245162188247359,O
0.09,Treat all,-0.015280823311195124,O
0.1,Treat all,-0.026561721347986192,O
0.11,Treat all,-0.0380961227114467,O
0.12,Treat all,-0.04989266956044042,O
0.13,Treat all,-0.061960401394468484,O
0.14,Treat all,-0.07430877815486928,O
0.15,Treat all,-0.08694770495669127,O
0.16,Treat all,-0.09988755858712808,O
0.17,Treat all,-0.11313921591950313,O
0.18,Treat all,-0.12671408440632628,O
0.19,Treat all,-0.14062413483109576,O
0.2,Treat all,-0.15488193651648446,O
0.21,Treat all,-0.16950069520656652,O
0.22,Treat all,-0.184494293863061,O
0.23,Treat all,-0.19987733664050333,O
0.24,Treat all,-0.21566519633314152,O
0.25,Treat all,-0.2318740656175834,O
0.26,Treat all,-0.2485210124502535,O
0.27,Treat all,-0.2656240400180652,O
0.28,Treat all,-0.2832021516849828,O
0.29,Treat all,-0.30127542142702474,O
0.3,Treat all,-0.3198650703045537,O
0.31,Treat all,-0.33899354958432987,O
0.32,Treat all,-0.35868463119586413,O
0.33,Treat all,-0.37896350628833975,O
0.34,Treat all,-0.399856892747254,O
0.35,Treat all,-0.4213931526356732,O
0.02,Treat none,0.0,O
0.03,Treat none,0.0,O
0.04,Treat none,0.0,O
0.05,Treat none,0.0,O
0.06,Treat none,0.0,O
0.07,Treat none,0.0,O
0.08,Treat none,0.0,O
0.09,Treat none,0.0,O
0.1,Treat none,0.0,O
0.11,Treat none,0.0,O
0.12,Treat none,0.0,O
0.13,Treat none,0.0,O
0.14,Treat none,0.0,O
0.15,Treat none,0.0,O
0.16,Treat none,0.0,O
0.17,Treat none,0.0,O
0.18,Treat none,0.0,O
0.19,Treat none,0.0,O
0.2,Treat none,0.0,O
0.21,Treat none,0.0,O
0.22,Treat none,0.0,O
0.23,Treat none,0.0,O
0.24,Treat none,0.0,O
0.25,Treat none,0.0,O
0.26,Treat none,0.0,O
0.27,Treat none,0.0,O
0.28,Treat none,0.0,O
0.29,Treat none,0.0,O
0.3,Treat none,0.0,O
0.31,Treat none,0.0,O
0.32,Treat none,0.0,O
0.33,Treat none,0.0,O
0.34,Treat none,0.0,O
0.35,Treat none,0.0,O
0.02,O+Q,0.057207437428370894,O+Q
0.03,O+Q,0.04801716240262124,O+Q
0.04,O+Q,0.0404126185436926,O+Q
0.05,O+Q,0.03432041648428863,O+Q
0.06,O+Q,0.029576190032252425,O+Q
0.07,O+Q,0.026004781453073778,O+Q
0.08,O+Q,0.021184282943262515,O+Q
0.09,O+Q,0.017606624771065334,O+Q
0.1,O+Q,0.013308938040537323,O+Q
0.11,O+Q,0.010561274290264638,O+Q
0.12,O+Q,0.009213271806257958,O+Q
0.13,O+Q,0.007419886514060213,O+Q
0.14,O+Q,0.00529040985869614,O+Q
0.15,O+Q,0.002961402116195097,O+Q
0.16,O+Q,0.0017167500084821598,O+Q
0.17,O+Q,0.001114192947291091,O+Q
0.18,O+Q,0.0011441837470335921,O+Q
0.19,O+Q,0.001201790445828863,O+Q
0.2,O+Q,0.0005602147242963415,O+Q
0.21,O+Q,0.00037789393579977233,O+Q
0.22,O+Q,0.00014936060677224233,O+Q
