threshold,strategy,net_benefit,model
0.02,O,0.0003954432300740801,O
0.03,O,4.6029446839982485e-05,O
0.04,O,0.0,O
0.05,O,0.0,O
0.06,O,0.0,O
0.07,O,0.0,O
0.08,O,0.0,O
0.09,O,0.0,O
0.1,O,0.0,O
0.11,O,0.0,O
0.12,O,0.0,O
0.13,O,0.0,O
0.14,O,0.0,O
0.15,O,0.0,O
0.16,O,0.0,O
0.17,O,0.0,O
0.18,O,0.0,O
0.19,O,0.0,O
0.2,O,0.0,O
0.21,O,0.0,O
0.22,O,0.0,O
0.23,O,0.0,O
0.24,O,0.0,O
0.25,O,0.0,O
0.26,O,0.0,O
0.27,O,0.0,O
0.28,O,0.0,O
0.29,O,0.0,O
0.3,O,0.0,O
0.31,O,0.0,O
0.32,O,0.0,O
0.33,O,0.0,O
0.34,O,0.0,O
0.35,O,0.0,O
0.02,Treat all,-0.0014189899110050586,O
0.03,Treat all,-0.011742897023489646,O
0.04,Treat all,-0.022281885534151,O
0.05,Treat all,-0.03304274748714206,O
0.06,Treat all,-0.04403256394977123,O
0.07,Treat all,-0.05525872055138169,O
0.08,Treat all,-0.06672892403563582,O
0.09,Treat all,-0.07845121990415929,O
0.1,Treat all,-0.09043401123642773,O
0.11,Treat all,-0.10268607877841006,O
0.12,Treat all,-0.11521660240089197,O
0.13,Treat all,-0.12803518403768385,O
0.14,Treat all,-0.14115187222416856,O
0.15,Treat all,-0.1545771883679823,O
0.16,Treat all,-0.16832215489617258,O
0.17,Treat all,-0.1823983254370903,O
0.18,Treat all,-0.19681781721071331,O
0.19,Treat all,-0.211593345818253,O
0.2,Treat all,-0.22673826264098118,O
0.21,Treat all,-0.24226659507947457,O
0.22,Treat all,-0.25819308988818584,O
0.23,Treat all,-0.27453325988673366,O
0.24,Treat all,-0.2913034343589275,O
0.25,Treat all,-0.30852081348371324,O
0.26,Treat all,-0.3262035271794391,O
0.27,Treat all,-0.34437069878463694,O
0.28,Treat all,-0.3630425140455347,O
0.29,Treat all,-0.38224029593349995,O
0.3,Treat all,-0.4019865858754071,O
0.31,Treat all,-0.42230523204751447,O
