threshold,strategy,net_benefit,model
0.005,O,0.00778712845654272,O
0.01,O,0.0015244773646945473,O
0.015,O,0.00012247949229906088,O
0.02,O,0.00015625931003176218,O
0.025,O,-5.4828934028711136e-05,O
0.03,O,0.0,O
0.035,O,0.0,O
0.04,O,0.0,O
0.045,O,0.0,O
0.05,O,0.0,O
0.055,O,0.0,O
0.06,O,0.0,O
0.065,O,0.0,O
0.07,O,0.0,O
0.075,O,0.0,O
0.08,O,0.0,O
0.085,O,0.0,O
0.09,O,0.0,O
0.095,O,0.0,O
0.1,O,0.0,O
0.005,Treat all,0.00856062206575832,O
0.01,Treat all,0.003553352480231845,O
0.015,Treat all,-0.0015047523295131683,O
0.02,Treat all,-0.006614470453643342,O
0.025,Treat all,-0.011776595943149205,O
0.03,Treat all,-0.016991939221206676,O
0.035,Treat all,-0.02226132750732692,O
0.04,Treat all,-0.027585605254760913,O
0.045,Treat all,-0.03296563460164448,O
0.05,Treat all,-0.038402295836389974,O
0.055,Treat all,-0.04389648787785236,O
0.06,Treat all,-0.04944912877081965,O
0.065,Treat all,-0.05506115619740158,O
0.07,Treat all,-0.06073352800491451,O
0.075,Treat all,-0.066467222750887,O
0.08,Treat all,-0.07226324026583747,O
0.085,Treat all,-0.07812260223450326,O
0.09,Treat all,-0.0840463527962313,O
0.095,Treat all,-0.09003555916527124,O
0.1,Treat all,-0.09609131227174499,O
0.005,Treat none,0.0,O
0.01,Treat none,0.0,O
0.015,Treat none,0.0,O
0.02,Treat none,0.0,O
0.025,Treat none,0.0,O
0.03,Treat none,0.0,O
0.035,Treat none,0.0,O
0.04,Treat none,0.0,O
0.045,Treat none,0.0,O
0.05,Treat none,0.0,O
0.055,Treat none,0.0,O
0.06,Treat none,0.0,O
0.065,Treat none,0.0,O
0.07,Treat none,0.0,O
0.075,Treat none,0.0,O
0.08,Treat none,0.0,O
0.085,Treat none,0.0,O
0.09,Treat none,0.0,O
0.095,Treat none,0.0,O
0.1,Treat none,0.0,O
0.005,O+Q,0.008650166807262497,O+Q
0.01,O+Q,0.0037633398850342096,O+Q
0.015,O+Q,0.0004691811275765491,O+Q
0.02,O+Q,-0.0001700979495996735,O+Q
0.025,O+Q,-0.000110491080048585,O+Q
0.03,O+Q,8.022320309007107e-06,O+Q
0.035,O+Q,-1.292599221920392e-05,O+Q
0.04,O+Q,0.0,O+Q
0.045,O+Q,0.0,O+Q
0.05,O+Q,0.0,O+Q
0.055,O+Q,0.0,O+Q
0.06,O+Q,0.0,O+Q
0.065,O+Q,0.0,O+Q
0.07,O+Q,0.0,O+Q
0.075,O+Q,0.0,O+Q
0.08,O+Q,0.0,O+Q
0.085,O+Q,0.0,O+Q
0.09,O+Q,0.0,O+Q
0.095,O+Q,0.0,O+Q
0.1,O+Q,0.0,O+Q
0.005,Treat all,0.00856062206575832,O+Q
0.01,Treat all,0.003553352480231845,O+Q
0.015,Treat all,-0.0015047523295131683,O+Q
0.02,Treat all,-0.006614470453643342,O+Q
0.025,Treat all,-0.011776595943149205,O+Q
0.03,Treat all,-0.016991939221206676,O+Q
0.035,Treat all,-0.02226132750732692,O+Q
0.04,Treat all,-0.027585605254760913,O+Q
0.045,Treat all,-0.03296563460164448,O+Q
0.05,Treat all,-0.038402295836389974,O+Q
0.055,Treat all,-0.04389648787785236,O+Q
0.06,Treat all,-0.04944912877081965,O+Q
0.065,Treat all,-0.05506115619740158,O+Q
0.07,Treat all,-0.06073352800491451,O+Q
0.075,Treat all,-0.066467222750887,O+Q
0.08,Treat all,-0.07226324026583747,O+Q
0.085,Treat all,-0.07812260223450326,O+Q
0.09,Treat all,-0.0840463527962313,O+Q
0.095,Treat all,-0.09003555916527124,O+Q
0.1,Treat all,-0.09609131227174499,O+Q
0.005,Treat none,0.0,O+Q
0.01,Treat none,0.0,O+Q
0.015,Treat none,0.0,O+Q
0.02,Treat none,0.0,O+Q
0.025,Treat none,0.0,O+Q
0.03,Treat none,0.0,O+Q
