threshold,strategy,net_benefit,model
0.02,O,0.11029636690029732,O
0.03,O,0.10158428253129331,O
0.04,O,0.09382555501864322,O
0.05,O,0.08966797877284396,O
0.06,O,0.0836978799956041,O
0.07,O,0.0776826364214755,O
0.08,O,0.07378916897198878,O
0.09,O,0.07028512084784928,O
0.1,O,0.06667480122950785,O
0.11,O,0.0633804749915845,O
0.12,O,0.05871337704640382,O
0.13,O,0.05583658936450346,O
0.14,O,0.05176215363120665,O
0.15,O,0.04967888869751273,O
0.16,O,0.04771760014713941,O
0.17,O,0.044997472338427116,O
0.18,O,0.04225436081685603,O
0.19,O,0.04020692162142681,O
0.2,O,0.03836230588742302,O
0.21,O,0.036336713225059325,O
0.22,O,0.034314250122908216,O
0.23,O,0.03294631848949018,O
0.24,O,0.03155140902391798,O
0.25,O,0.0300037945138957,O
0.26,O,0.02929592789649065,O
0.27,O,0.028030948281730222,O
0.28,O,0.027352343782168154,O
0.29,O,0.02589448042269407,O
0.3,O,0.02375070901427195,O
0.31,O,0.022976213053528358,O
0.32,O,0.021909287907947137,O
0.33,O,0.02159215700594902,O
0.34,O,0.020675433711602978,O
0.35,O,0.018892415164685174,O
0.02,Treat all,0.11020325991827501,O
0.03,Treat all,0.10103009764939125,O
0.04,Treat all,0.09166582783323907,O
0.05,Treat all,0.08210441549464158,O
0.06,Treat all,0.07233956885096757,O
0.07,Treat all,0.06236472550527902,O
0.08,Treat all,0.05217303773903208,O
0.09,Treat all,0.04175735683506539,O
0.1,Treat all,0.031110216355454995,O
0.11,Treat all,0.020223814292033154,O
0.12,Treat all,0.00908999399989717,O
0.13,Treat all,-0.0022997761840120867,O
0.14,Treat all,-0.013954424744291288,O
0.15,Treat all,-0.025883300329518244,O
0.16,Treat all,-0.03809619676201251,O
0.17,Treat all,-0.050603379855530733,O
0.18,Treat all,-0.06341561619523228,O
0.19,Treat all,-0.07654420404949444,O
0.2,Treat all,-0.09000100660011312,O
0.21,Treat all,-0.10379848769631705,O
0.22,Treat all,-0.11794975035909039,O
0.23,Treat all,-0.1324685782858318,O
0.24,Treat all,-0.14736948063169802,O
0.25,Treat all,-0.162667740373454,O
0.26,Treat all,-0.17837946659471693,O
0.27,Treat all,-0.19452165106861713,O
0.28,Treat all,-0.21111222955568132,O
0.29,Treat all,-0.2281701482818176,O
0.3,Treat all,-0.24571543611441504,O
0.31,Treat all,-0.26376928301462393,O
0.32,Treat all,-0.2823541254118978,O
0.33,Treat all,-0.30149373922401573,O
0.34,Treat all,-0.3212133413334705,O
0.35,Treat all,-0.3415397004309084,O
0.02,Treat none,0.0,O
0.03,Treat none,0.0,O
0.04,Treat none,0.0,O
0.05,Treat none,0.0,O
0.06,Treat none,0.0,O
0.07,Treat none,0.0,O
0.08,Treat none,0.0,O
0.09,Treat none,0.0,O
0.1,Treat none,0.0,O
0.11,Treat none,0.0,O
0.12,Treat none,0.0,O
0.13,Treat none,0.0,O
0.14,Treat none,0.0,O
0.15,Treat none,0.0,O
0.16,Treat none,0.0,O
0.17,Treat none,0.0,O
0.18,Treat none,0.0,O
0.19,Treat none,0.0,O
0.2,Treat none,0.0,O
0.21,Treat none,0.0,O
0.22,Treat none,0.0,O
0.23,Treat none,0.0,O
0.24,Treat none,0.0,O
0.25,Treat none,0.0,O
0.26,Treat none,0.0,O
0.27,Treat none,0.0,O
0.28,Treat none,0.0,O
0.29,Treat none,0.0,O
0.3,Treat none,0.0,O
0.31,Treat none,0.0,O
0.32,Treat none,0.0,O
0.33,Treat none,0.0,O
0.34,Treat none,0.0,O
0.35,Treat none,0.0,O
0.02,O+Q,0.11080976708883856,O+Q
0.03,O+Q,0.10226570828535919,O+Q
0.04,O+Q,0.0963483485278473,O+Q
0.05,O+Q,0.09031761090180954,O+Q
0.06,O+Q,0.08480472880239948,O+Q
0.07,O+Q,0.08027417920200644,O+Q
0.08,O+Q,0.07660772913924095,O+Q
0.09,O+Q,0.07320257182632166,O+Q
0.1,O+Q,0.06975059194644831,O+Q
0.11,O+Q,0.06669069973624508,O+Q
0.12,O+Q,0.06354927780623296,O+Q
0.13,O+Q,0.06091423685293458,O+Q
0.14,O+Q,0.058396796047804914,O+Q
0.15,O+Q,0.05450239974262738,O+Q
0.16,O+Q,0.05247345808459201,O+Q
0.17,O+Q,0.05083075125249791,O+Q
0.18,O+Q,0.04937028905575866,O+Q
0.19,O+Q,0.04757859394656498,O+Q
0.2,O+Q,0.044768264821651235,O+Q
0.21,O+Q,0.04319108423601099,O+Q
0.22,O+Q,0.0414907518212802,O+Q
0.23,O+Q,0.04052461843327581,O+Q
0.24,O+Q,0.03951166525217227,O+Q
0.25,O+Q,0.038473538314192736,O+Q
0.26,O+Q,0.0381086547373489,O+Q
0.27,O+Q,0.03580856765223958,O+Q
0.28,O+Q,0.03257658385303295,O+Q
0.29,O+Q,0.030412931343310134,O+Q
0.3,O+Q,0.028618899779903645,O+Q
0.31,O+Q,0.027619086300245326,O+Q
0.32,O+Q,0.026852010345622443,O+Q
0.33,O+Q,0.026032475064703634,O+Q
0.34,O+Q,0.024528904290447053,O+Q
0.35,O+Q,0.023503988833929193,O+Q
0.02,Treat all,0.11020325991827501,O+Q
0.03,Treat all,0.10103009764939125,O+Q
0.04,Treat all,0.09166582783323907,O+Q
0.05,Treat all,0.08210441549464158,O+Q
0.06,Treat all,0.07233956885096757,O+Q
0.07,Treat all,0.06236472550527902,O+Q
0.08,Treat all,0.05217303773903208,O+Q
0.09,Treat all,0.04175735683506539,O+Q
0.1,Treat all,0.031110216355454995,O+Q
0.11,Treat all,0.020223814292033154,O+Q
0.12,Treat all,0.00908999399989717,O+Q
0.13,Treat all,-0.0022997761840120867,O+Q
0.14,Treat all,-0.013954424744291288,O+Q
0.15,Treat all,-0.025883300329518244,O+Q
0.16,Treat all,-0.03809619676201251,O+Q
0.17,Treat all,-0.050603379855530733,O+Q
0.18,Treat all,-0.06341561619523228,O+Q
0.19,Treat all,-0.07654420404949444,O+Q
0.2,Treat all,-0.09000100660011312,O+Q
0.21,Treat all,-0.10379848769631705,O+Q
0.22,Treat all,-0.11794975035909039,O+Q
0.23,Treat all,-0.1324685782858318,O+Q
0.24,Treat all,-0.14736948063169802,O+Q
0.25,Treat all,-0.162667740373454,O+Q
0.26,Treat all,-0.17837946659471693,O+Q
0.27,Treat all,-0.19452165106861713,O+Q
0.28,Treat all,-0.21111222955568132,O+Q
0.29,Treat all,-0.2281701482818176,O+Q
0.3,Treat all,-0.24571543611441504,O+Q
0.31,Treat all,-0.26376928301462393,O+Q
0.32,Treat all,-0.2823541254118978,O+Q
0.33,Treat all,-0.30149373922401573,O+Q
0.34,Treat all,-0.3212133413334705,O+Q
0.35,Treat all,-0.3415397004309084,O+Q
0.02,Treat none,0.0,O+Q
0.03,Treat none,0.0,O+Q
0.04,Treat none,0.0,O+Q
0.05,Treat none,0.0,O+Q
0.06,Treat none,0.0,O+Q
0.07,Treat none,0.0,O+Q
0.08,Treat none,0.0,O+Q
0.09,Treat none,0.0,O+Q
0.1,Treat none,0.0,O+Q
0.11,Treat none,0.0,O+Q
0.12,Treat none,0.0,O+Q
0.13,Treat none,0.0,O+Q
0.14,Treat none,0.0,O+Q
0.15,Treat none,0.0,O+Q
0.16,Treat none,0.0,O+Q
0.17,Treat none,0.0,O+Q
0.18,Treat none,0.0,O+Q
0.19,Treat none,0.0,O+Q
0.2,Treat none,0.0,O+Q
0.21,Treat none,0.0,O+Q
0.22,Treat none,0.0,O+Q
0.23,Treat none,0.0,O+Q
0.24,Treat none,0.0,O+Q
0.25,Treat none,0.0,O+Q
0.26,Treat none,0.0,O+Q
0.27,Treat none,0.0,O+Q
0.28,Treat none,0.0,O+Q
0.29,Treat none,0.0,O+Q
0.3,Treat none,0.0,O+Q
0.31,Treat none,0.0,O+Q
0.32,Treat none,0.0,O+Q
0.33,Treat none,0.0,O+Q
0.34,Treat none,0.0,O+Q
0.35,Treat none,0.0,O+Q
0.02,S,0.110203259918275,S
0.03,S,0.10099303691824074,S
0.04,S,0.0920223212434064,S
0.05,S,0.08296564831550751,S
0.06,S,0.07686337060931471,S
0.07,S,0.07283577493005754,S
0.08,S,0.06864168034084446,S
0.09,S,0.06388764281504769,S
0.1,S,0.0595728555000373,S
0.11,S,0.05498405392125928,S
0.12,S,0.051702518677421094,S
0.13,S,0.0492116500056904,S
0.14,S,0.04591947097442459,S
0.15,S,0.04362349654173417,S
0.16,S,0.04022132698142496,S
0.17,S,0.038146105716855894,S
0.18,S,0.036116632012358305,S
0.19,S,0.032196216838811825,S
0.2,S,0.029341090713431217,S
0.21,S,0.02789770080915467,S
0.22,S,0.02565680354812246,S
0.23,S,0.023879121885989403,S
0.24,S,0.02135949452528435,S
0.25,S,0.019571512925717814,S
0.26,S,0.01895348893264969,S
0.27,S,0.017803217627066947,S
0.28,S,0.01677753470776347,S
0.29,S,0.016406545448289112,S
0.3,S,0.015253855282894947,S
0.31,S,0.014840127134709653,S
0.32,S,0.013862756157568951,S
0.33,S,0.013649109414350847,S
0.34,S,0.013088597687277924,S
0.35,S,0.012360762718615692,S
0.02,Treat all,0.11020325991827501,S
0.03,Treat all,0.10103009764939125,S
0.04,Treat all,0.09166582783323907,S
0.05,Treat all,0.08210441549464158,S
0.06,Treat all,0.07233956885096757,S
0.07,Treat all,0.06236472550527902,S
0.08,Treat all,0.05217303773903208,S
0.09,Treat all,0.04175735683506539,S
0.1,Treat all,0.031110216355454995,S
0.11,Treat all,0.020223814292033154,S
0.12,Treat all,0.00908999399989717,S
0.13,Treat all,-0.0022997761840120867,S
0.14,Treat all,-0.013954424744291288,S
0.15,Treat all,-0.025883300329518244,S
0.16,Treat all,-0.03809619676201251,S
0.17,Treat all,-0.050603379855530733,S
0.18,Treat all,-0.06341561619523228,S
0.19,Treat all,-0.07654420404949444,S
0.2,Treat all,-0.09000100660011312,S
0.21,Treat all,-0.10379848769631705,S
0.22,Treat all,-0.11794975035909039,S
0.23,Treat all,-0.1324685782858318,S
0.24,Treat all,-0.14736948063169802,S
0.25,Treat all,-0.162667740373454,S
0.26,Treat all,-0.17837946659471693,S
0.27,Treat all,-0.19452165106861713,S
0.28,Treat all,-0.21111222955568132,S
0.29,Treat all,-0.2281701482818176,S
0.3,Treat all,-0.24571543611441504,S
0.31,Treat all,-0.26376928301462393,S
0.32,Treat all,-0.2823541254118978,S
0.33,Treat all,-0.30149373922401573,S
0.34,Treat all,-0.3212133413334705,S
0.35,Treat all,-0.3415397004309084,S
0.02,Treat none,0.0,S
0.03,Treat none,0.0,S
0.04,Treat none,0.0,S
0.05,Treat none,0.0,S
0.06,Treat none,0.0,S
0.07,Treat none,0.0,S
0.08,Treat none,0.0,S
