threshold,strategy,net_benefit,model
0.005,O,0.0012756598914769658,O
0.01,O,-9.723156062666134e-05,O
0.015,O,-0.0001640201644371968,O
0.02,O,-4.097826209584527e-05,O
0.025,O,-1.992987436919522e-05,O
0.03,O,-1.001630284018832e-05,O
0.035,O,-9.39698739687443e-06,O
0.04,O,-5.397674308323705e-06,O
0.045,O,-3.0520880905704718e-06,O
0.05,O,-3.409057457888656e-06,O
0.055,O,0.0,O
0.06,O,0.0,O
0.065,O,0.0,O
0.07,O,0.0,O
0.075,O,0.0,O
0.08,O,0.0,O
0.085,O,0.0,O
0.09,O,0.0,O
0.095,O,0.0,O
0.1,O,0.0,O
0.005,Treat all,0.00029647011545145836,O
0.01,Treat all,-0.004752537611238182,O
0.015,Treat all,-0.0098528042996201,O
0.02,Treat all,-0.015005114525638574,O
0.025,Treat all,-0.020210268959103387,O
0.03,Treat all,-0.025469084778480207,O
0.035,Treat all,-0.030782396098575963,O
0.04,Treat all,-0.036151054411589376,O
0.045,Treat all,-0.04157592904201654,O
0.05,Treat all,-0.0470579076159219,O
0.055,Treat all,-0.052597896545106666,O
0.06,Treat all,-0.058196821526729565,O
0.065,Treat all,-0.06385562805895806,O
0.07,Treat all,-0.06957528197325355,O
0.075,Treat all,-0.07535676998391977,O
0.08,Treat all,-0.0812011002555715,O
0.085,Treat all,-0.08710930298920852,O
0.09,Treat all,-0.09308243102761075,O
0.095,Treat all,-0.09912156048080198,O
0.1,Treat all,-0.10522779137236199,O
0.005,Treat none,0.0,O
0.01,Treat none,0.0,O
0.015,Treat none,0.0,O
0.02,Treat none,0.0,O
0.025,Treat none,0.0,O
0.03,Treat none,0.0,O
0.035,Treat none,0.0,O
0.04,Treat none,0.0,O
0.045,Treat none,0.0,O
0.05,Treat none,0.0,O
0.055,Treat none,0.0,O
0.06,Treat none,0.0,O
0.065,Treat none,0.0,O
0.07,Treat none,0.0,O
0.075,Treat none,0.0,O
0.08,Treat none,0.0,O
0.085,Treat none,0.0,O
0.09,Treat none,0.0,O
0.095,Treat none,0.0,O
0.1,Treat none,0.0,O
0.005,O+Q,0.0014343444024826236,O+Q
0.01,O+Q,0.0005555868639512489,O+Q
0.015,O+Q,-0.0002343388769235093,O+Q
0.02,O+Q,-0.0001582428132558438,O+Q
0.025,O+Q,-9.134525752547807e-05,O+Q
0.03,O+Q,-2.6042387384489628e-05,O+Q
0.035,O+Q,-1.4095481095311646e-05,O+Q
0.04,O+Q,-5.397674308323705e-06,O+Q
0.045,O+Q,0.0,O+Q
0.05,O+Q,0.0,O+Q
0.055,O+Q,0.0,O+Q
0.06,O+Q,0.0,O+Q
0.065,O+Q,0.0,O+Q
0.07,O+Q,0.0,O+Q
0.075,O+Q,0.0,O+Q
0.08,O+Q,0.0,O+Q
0.085,O+Q,0.0,O+Q
0.09,O+Q,0.0,O+Q
0.095,O+Q,0.0,O+Q
0.1,O+Q,0.0,O+Q
0.005,Treat all,0.00029647011545145836,O+Q
0.01,Treat all,-0.004752537611238182,O+Q
0.015,Treat all,-0.0098528042996201,O+Q
0.02,Treat all,-0.015005114525638574,O+Q
0.025,Treat all,-0.020210268959103387,O+Q
0.03,Treat all,-0.025469084778480207,O+Q
0.035,Treat all,-0.030782396098575963,O+Q
0.04,Treat all,-0.036151054411589376,O+Q
0.045,Treat all,-0.04157592904201654,O+Q
0.05,Treat all,-0.0470579076159219,O+Q
0.055,Treat all,-0.052597896545106666,O+Q
0.06,Treat all,-0.058196821526729565,O+Q
0.065,Treat all,-0.06385562805895806,O+Q
0.07,Treat all,-0.06957528197325355,O+Q
0.075,Treat all,-0.07535676998391977,O+Q
0.08,Treat all,-0.0812011002555715,O+Q
0.085,Treat all,-0.08710930298920852,O+Q
0.09,Treat all,-0.09308243102761075,O+Q
0.095,Treat all,-0.09912156048080198,O+Q
0.1,Treat all,-0.10522779137236199,O+Q
0.005,Treat none,0.0,O+Q
0.01,Treat none,0.0,O+Q
0.015,Treat none,0.0,O+Q
0.02,Treat none,0.0,O+Q
0.025,Treat none,0.0,O+Q
0.03,Treat none,0.0,O+Q
0.035,Treat none,0.0,O+Q
0.04,Treat none,0.0,O+Q
0.045,Treat none,0.0,O+Q
0.05,Treat none,0.0,O+Q
0.055,Treat none,0.0,O+Q
0.06,Treat none,0.0,O+Q
0.065,Treat none,0.0,O+Q
0.07,Treat none,0.0,O+Q
0.075,Treat none,0.0,O+Q
0.08,Treat none,0.0,O+Q
0.085,Treat none,0.0,O+Q
0.09,Treat none,0.0,O+Q
0.095,Treat none,0.0,O+Q
0.1,Treat none,0.0,O+Q
0.005,S,0.0006042971622895067,S
0.01,S,-6.675344838518436e-05,S
0.015,S,-0.00022343903460342237,S
0.02,S,-8.013254310498332e-05,S
0.025,S,-1.773305549666972e-05,S
0.03,S,8.583282050970364e-06,S
0.035,S,2.342609351363284e-05,S
0.04,S,-1.6193022924971118e-05,S
0.045,S,-1.2208352362281887e-05,S
0.05,S,-1.3636229831554624e-05,S
0.055,S,-1.1309412836487763e-05,S
0.06,S,-8.268777663815037e-06,S
0.065,S,-9.005745370037411e-06,S
0.07,S,-4.8753187300988315e-06,S
0.075,S,-5.25179121890955e-06,S
0.08,S,0.0,S
0.085,S,0.0,S
0.09,S,0.0,S
0.095,S,0.0,S
0.1,S,0.0,S
0.005,Treat all,0.00029647011545145836,S
0.01,Treat all,-0.004752537611238182,S
0.015,Treat all,-0.0098528042996201,S
0.02,Treat all,-0.015005114525638574,S
0.025,Treat all,-0.020210268959103387,S
0.03,Treat all,-0.025469084778480207,S
0.035,Treat all,-0.030782396098575963,S
0.04,Treat all,-0.036151054411589376,S
0.045,Treat all,-0.04157592904201654,S
0.05,Treat all,-0.0470579076159219,S
0.055,Treat all,-0.052597896545106666,S
0.06,Treat all,-0.058196821526729565,S
0.065,Treat all,-0.06385562805895806,S
0.07,Treat all,-0.06957528197325355,S
0.075,Treat all,-0.07535676998391977,S
0.08,Treat all,-0.0812011002555715,S
0.085,Treat all,-0.08710930298920852,S
0.09,Treat all,-0.09308243102761075,S
0.095,Treat all,-0.09912156048080198,S
0.1,Treat all,-0.10522779137236199,S
0.005,Treat none,0.0,S
0.01,Treat none,0.0,S
0.015,Treat none,0.0,S
0.02,Treat none,0.0,S
0.025,Treat none,0.0,S
0.03,Treat none,0.0,S
0.035,Treat none,0.0,S
0.04,Treat none,0.0,S
0.045,Treat none,0.0,S
0.05,Treat none,0.0,S
0.055,Treat none,0.0,S
0.06,Treat none,0.0,S
0.065,Treat none,0.0,S
0.07,Treat none,0.0,S
0.075,Treat none,0.0,S
0.08,Treat none,0.0,S
0.085,Treat none,0.0,S
0.09,Treat none,0.0,S
0.095,Treat none,0.0,S
0.1,Treat none,0.0,S
0.005,O+S,0.001175283440655624,O+S
0.01,O+S,0.00012496487158040158,O+S
0.015,O+S,-0.00014552605631960226,O+S
0.02,O+S,-9.599509617434276e-05,O+S
0.025,O+S,-1.2750586904370926e-05,O+S
0.03,O+S,1.659632432312102e-05,O+S
0.035,O+S,3.752157460894449e-05,O+S
0.04,O+S,-1.3494185770809263e-05,O+S
0.045,O+S,-6.1041761811409436e-06,O+S
0.05,O+S,-6.818114915777312e-06,O+S
0.055,O+S,-3.7698042788292545e-06,O+S
0.06,O+S,-4.134388831907518e-06,O+S
0.065,O+S,-4.5028726850187055e-06,O+S
0.07,O+S,-4.8753187300988315e-06,O+S
0.075,O+S,-5.25179121890955e-06,O+S
0.08,O+S,-5.632355799989953e-06,O+S
0.085,O+S,-6.017079556819868e-06,O+S
0.09,O+S,0.0,O+S
0.095,O+S,0.0,O+S
0.1,O+S,0.0,O+S
0.005,Treat all,0.00029647011545145836,O+S
0.01,Treat all,-0.004752537611238182,O+S
0.015,Treat all,-0.0098528042996201,O+S
0.02,Treat all,-0.015005114525638574,O+S
0.025,Treat all,-0.020210268959103387,O+S
0.03,Treat all,-0.025469084778480207,O+S
0.035,Treat all,-0.030782396098575963,O+S
0.04,Treat all,-0.036151054411589376,O+S
0.045,Treat all,-0.04157592904201654,O+S
0.05,Treat all,-0.0470579076159219,O+S
0.055,Treat all,-0.052597896545106666,O+S
0.06,Treat all,-0.058196821526729565,O+S
0.065,Treat all,-0.06385562805895806,O+S
0.07,Treat all,-0.06957528197325355,O+S
0.075,Treat all,-0.07535676998391977,O+S
0.08,Treat all,-0.0812011002555715,O+S
0.085,Treat all,-0.08710930298920852,O+S
0.09,Treat all,-0.09308243102761075,O+S
0.095,Treat all,-0.09912156048080198,O+S
0.1,Treat all,-0.10522779137236199,O+S
0.005,Treat none,0.0,O+S
0.01,Treat none,0.0,O+S
0.015,Treat none,0.0,O+S
0.02,Treat none,0.0,O+S
0.025,Treat none,0.0,O+S
0.03,Treat none,0.0,O+S
0.035,Treat none,0.0,O+S
0.04,Treat none,0.0,O+S
0.045,Treat none,0.0,O+S
0.05,Treat none,0.0,O+S
0.055,Treat none,0.0,O+S
0.06,Treat none,0.0,O+S
0.065,Treat none,0.0,O+S
0.07,Treat none,0.0,O+S
0.075,Treat none,0.0,O+S
0.08,Treat none,0.0,O+S
0.085,Treat none,0.0,O+S
0.09,Treat none,0.0,O+S
0.095,Treat none,0.0,O+S
0.1,Treat none,0.0,O+S
0.005,O+Q+S,0.0013208672686077691,O+Q+S
0.01,O+Q+S,3.987782285887263e-05,O+Q+S
0.015,O+Q+S,-0.0003092034780958167,O+Q+S
0.02,O+Q+S,-0.0001515140319171009,O+Q+S
0.025,O+Q+S,-0.00010629266330237451,O+Q+S
0.03,O+Q+S,-6.410433817720524e-05,O+Q+S
0.035,O+Q+S,-2.5841715341404688e-05,O+Q+S
0.04,O+Q+S,-1.079534861664741e-05,O+Q+S
0.045,O+Q+S,-6.1041761811409436e-06,O+Q+S
0.05,O+Q+S,-6.818114915777312e-06,O+Q+S
0.055,O+Q+S,-7.539608557658509e-06,O+Q+S
0.06,O+Q+S,-8.268777663815037e-06,O+Q+S
0.065,O+Q+S,-9.005745370037411e-06,O+Q+S
0.07,O+Q+S,-9.750637460197663e-06,O+Q+S
0.075,O+Q+S,-1.05035824378191e-05,O+Q+S
0.08,O+Q+S,-1.1264711599979905e-05,O+Q+S
0.085,O+Q+S,-1.2034159113639736e-05,O+Q+S
0.09,O+Q+S,-1.2812062094482639e-05,O+Q+S
0.095,O+Q+S,-6.799280344186766e-06,O+Q+S
0.1,O+Q+S,0.0,O+Q+S
0.005,Treat all,0.00029647011545145836,O+Q+S
0.01,Treat all,-0.004752537611238182,O+Q+S
0.015,Treat all,-0.0098528042996201,O+Q+S
0.02,Treat all,-0.015005114525638574,O+Q+S
0.025,Treat all,-0.020210268959103387,O+Q+S
0.03,Treat all,-0.025469084778480207,O+Q+S
0.035,Treat all,-0.030782396098575963,O+Q+S
0.04,Treat all,-0.036151054411589376,O+Q+S
0.045,Treat all,-0.04157592904201654,O+Q+S
0.05,Treat all,-0.0470579076159219,O+Q+S
0.055,Treat all,-0.052597896545106666,O+Q+S
0.06,Treat all,-0.058196821526729565,O+Q+S
0.065,Treat all,-0.06385562805895806,O+Q+S
0.07,Treat all,-0.06957528197325355,O+Q+S
0.075,Treat all,-0.07535676998391977,O+Q+S
0.08,Treat all,-0.0812011002555715,O+Q+S
0.085,Treat all,-0.08710930298920852,O+Q+S
0.09,Treat all,-0.09308243102761075,O+Q+S
0.095,Treat all,-0.09912156048080198,O+Q+S
0.1,Treat all,-0.10522779137236199,O+Q+S
0.005,Treat none,0.0,O+Q+S
0.01,Treat none,0.0,O+Q+S
0.015,Treat none,0.0,O+Q+S
0.02,Treat none,0.0,O+Q+S
0.025,Treat none,0.0,O+Q+S
0.03,Treat none,0.0,O+Q+S
0.035,Treat none,0.0,O+Q+S
0.04,Treat none,0.0,O+Q+S
0.045,Treat none,0.0,O+Q+S
0.05,Treat none,0.0,O+Q+S
0.055,Treat none,0.0,O+Q+S
0.06,Treat none,0.0,O+Q+S
0.065,Treat none,0.0,O+Q+S
0.07,Treat none,0.0,O+Q+S
0.075,Treat none,0.0,O+Q+S
0.08,Treat none,0.0,O+Q+S
0.085,Treat none,0.0,O+Q+S
0.09,Treat none,0.0,O+Q+S
0.095,Treat none,0.0,O+Q+S
0.1,Treat none,0.0,O+Q+S
