threshold,strategy,net_benefit,model
0.005,O,0.021754365886436956,O
0.01,O,0.017897915226076817,O
0.015,O,0.01475988105312389,O
0.02,O,0.01292499149481723,O
0.025,O,0.008929195132142279,O
0.03,O,0.006134189589717042,O
0.035,O,0.004754508595401649,O
0.04,O,0.003260765649593018,O
0.045,O,0.002498119628584544,O
0.05,O,0.0010153400656832488,O
0.055,O,0.0002859057489595686,O
0.06,O,-6.268638133358612e-05,O
0.065,O,7.199118209282223e-05,O
0.07,O,0.0,O
0.075,O,0.0,O
0.08,O,0.0,O
0.085,O,0.0,O
0.09,O,0.0,O
0.095,O,0.0,O
0.1,O,0.0,O
0.005,Treat all,0.02171902336560479,O
0.01,Treat all,0.01677821035229976,O
0.015,Treat all,0.011787236800788595,O
0.02,Treat all,0.006745334947731392,O
0.025,Treat all,0.0016517212807966794,O
0.03,Treat all,-0.0034944038672404497,O
0.035,Treat all,-0.0086938567370189,O
0.04,Treat all,-0.013947470574190875,O
0.045,Treat all,-0.019256096074579305,O
0.05,Treat all,-0.02462060184339288,O
0.055,Treat all,-0.0300418748690193,O
0.06,Treat all,-0.03552082101193961,O
0.065,Treat all,-0.04105836550932966,O
0.07,Treat all,-0.04665545349593897,O
0.075,Treat all,-0.05231305054186294,O
0.08,Treat all,-0.05803214320785133,O
0.085,Treat all,-0.06381373961882321,O
0.09,Treat all,-0.06965887005628926,O
0.095,Treat all,-0.0755685875704124,O
0.1,Treat all,-0.08154396861247026,O
0.005,Treat none,0.0,O
0.01,Treat none,0.0,O
0.015,Treat none,0.0,O
0.02,Treat none,0.0,O
0.025,Treat none,0.0,O
0.03,Treat none,0.0,O
0.035,Treat none,0.0,O
0.04,Treat none,0.0,O
0.045,Treat none,0.0,O
0.05,Treat none,0.0,O
0.055,Treat none,0.0,O
0.06,Treat none,0.0,O
0.065,Treat none,0.0,O
0.07,Treat none,0.0,O
0.075,Treat none,0.0,O
0.08,Treat none,0.0,O
0.085,Treat none,0.0,O
0.09,Treat none,0.0,O
0.095,Treat none,0.0,O
0.1,Treat none,0.0,O
0.005,O+Q,0.021745530256228912,O+Q
0.01,O+Q,0.017802623042870613,O+Q
0.015,O+Q,0.014494704724353031,O+Q
0.02,O+Q,0.011375205746745798,O+Q
0.025,O+Q,0.00858423742705142,O+Q
0.03,O+Q,0.006787621556783406,O+Q
0.035,O+Q,0.004033096095653568,O+Q
0.04,O+Q,0.0032468882862765505,O+Q
0.045,O+Q,0.0024700981387940583,O+Q
0.05,O+Q,0.0020892297145611843,O+Q
0.055,O+Q,0.001091472293065045,O+Q
0.06,O+Q,0.0007042623517984747,O+Q
0.065,O+Q,0.0005420276660934483,O+Q
0.07,O+Q,0.0001166004106650601,O+Q
0.075,O+Q,9.169813357481271e-05,O+Q
0.08,O+Q,-3.0578963676527504e-05,O+Q
0.085,O+Q,-3.266769070361272e-05,O+Q
0.09,O+Q,0.0,O+Q
0.095,O+Q,0.0,O+Q
0.1,O+Q,0.0,O+Q
0.005,Treat all,0.02171902336560479,O+Q
0.01,Treat all,0.01677821035229976,O+Q
0.015,Treat all,0.011787236800788595,O+Q
0.02,Treat all,0.006745334947731392,O+Q
0.025,Treat all,0.0016517212807966794,O+Q
0.03,Treat all,-0.0034944038672404497,O+Q
0.035,Treat all,-0.0086938567370189,O+Q
0.04,Treat all,-0.013947470574190875,O+Q
0.045,Treat all,-0.019256096074579305,O+Q
0.05,Treat all,-0.02462060184339288,O+Q
0.055,Treat all,-0.0300418748690193,O+Q
0.06,Treat all,-0.03552082101193961,O+Q
0.065,Treat all,-0.04105836550932966,O+Q
0.07,Treat all,-0.04665545349593897,O+Q
0.075,Treat all,-0.05231305054186294,O+Q
0.08,Treat all,-0.05803214320785133,O+Q
0.085,Treat all,-0.06381373961882321,O+Q
0.09,Treat all,-0.06965887005628926,O+Q
0.095,Treat all,-0.0755685875704124,O+Q
0.1,Treat all,-0.08154396861247026,O+Q
0.005,Treat none,0.0,O+Q
0.01,Treat none,0.0,O+Q
0.015,Treat none,0.0,O+Q
0.02,Treat none,0.0,O+Q
0.025,Treat none,0.0,O+Q
0.03,Treat none,0.0,O+Q
0.035,Treat none,0.0,O+Q
0.04,Treat none,0.0,O+Q
0.045,Treat none,0.0,O+Q
0.05,Treat none,0.0,O+Q
0.055,Treat none,0.0,O+Q
0.06,Treat none,0.0,O+Q
0.065,Treat none,0.0,O+Q
0.07,Treat none,0.0,O+Q
0.075,Treat none,0.0,O+Q
0.08,Treat none,0.0,O+Q
0.085,Treat none,0.0,O+Q
0.09,Treat none,0.0,O+Q
0.095,Treat none,0.0,O+Q
0.1,Treat none,0.0,O+Q
0.005,S,0.021719023365604787,S
0.01,S,0.016943546862965113,S
0.015,S,0.01250256418471978,S
0.02,S,0.007672652605243179,S
0.025,S,0.004413862458790762,S
0.03,S,0.0026590366395856076,S
0.035,S,0.001468292223647741,S
0.04,S,0.0013649092897457065,S
0.045,S,0.0004161176890761414,S
0.05,S,0.00011626373579043422,S
0.055,S,3.872506950425845e-06,S
0.06,S,0.0,S
0.065,S,0.0,S
0.07,S,0.0,S
0.075,S,0.0,S
0.08,S,0.0,S
0.085,S,0.0,S
0.09,S,0.0,S
0.095,S,0.0,S
0.1,S,0.0,S
0.005,Treat all,0.02171902336560479,S
0.01,Treat all,0.01677821035229976,S
0.015,Treat all,0.011787236800788595,S
0.02,Treat all,0.006745334947731392,S
0.025,Treat all,0.0016517212807966794,S
0.03,Treat all,-0.0034944038672404497,S
0.035,Treat all,-0.0086938567370189,S
0.04,Treat all,-0.013947470574190875,S
0.045,Treat all,-0.019256096074579305,S
0.05,Treat all,-0.02462060184339288,S
0.055,Treat all,-0.0300418748690193,S
