Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.086,0.957,0.910,0.170
O,0.1,0.128,0.929,0.242,0.858
O,0.15,--,0.921,0.000,1.000
O,0.2,--,0.921,0.000,1.000
O+Q,0.05,0.108,0.967,0.838,0.406
O+Q,0.1,0.149,0.943,0.447,0.780
O+Q,0.15,0.236,0.929,0.141,0.961
O+Q,0.2,0.475,0.922,0.023,0.998
S,0.05,0.082,0.940,0.917,0.113
S,0.1,0.136,0.926,0.140,0.924
S,0.15,0.314,0.921,0.004,0.999
S,0.2,--,0.921,0.000,1.000
O+S,0.05,0.092,0.965,0.898,0.240
O+S,0.1,0.119,0.929,0.246,0.843
O+S,0.15,0.145,0.922,0.043,0.978
O+S,0.2,0.000,0.921,0.000,0.997
O+Q+S,0.05,0.129,0.975,0.846,0.511
O+Q+S,0.1,0.195,0.958,0.597,0.788
O+Q+S,0.15,0.231,0.941,0.341,0.902
O+Q+S,0.2,0.333,0.935,0.227,0.961
