threshold,nb_model_mean,nb_model_ci_low,nb_model_ci_high
0.005,0.0062125981384897324,0.0020900123813709704,0.010895401520310521
0.01,0.0022235450321345983,-0.0004037602943872371,0.0054490295147541406
0.015,0.0009577835181893828,-0.0005149967090763287,0.0028332522607733878
0.02,0.00016589383604382712,-0.0003679586357030634,0.0010775152742176295
0.025,-9.383753798286544e-05,-0.00023348621812608415,0.0
0.03,0.0,0.0,0.0
0.035,0.0,0.0,0.0
0.04,0.0,0.0,0.0
0.045,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.055,0.0,0.0,0.0
0.06,0.0,0.0,0.0
0.065,0.0,0.0,0.0
0.07,0.0,0.0,0.0
0.075,0.0,0.0,0.0
0.08,0.0,0.0,0.0
0.085,0.0,0.0,0.0
0.09,0.0,0.0,0.0
0.095,0.0,0.0,0.0
0.1,0.0,0.0,0.0
