threshold,strategy,net_benefit,model
0.005,O,0.00339181797029847,O
0.01,O,0.0004201699479499379,O
0.015,O,-0.0008662658809468282,O
0.02,O,-0.0004072807102669661,O
0.025,O,-0.00027911545179134736,O
0.03,O,0.0,O
0.035,O,0.0,O
0.04,O,0.0,O
0.045,O,0.0,O
0.05,O,0.0,O
0.055,O,0.0,O
0.06,O,0.0,O
0.065,O,0.0,O
0.07,O,0.0,O
0.075,O,0.0,O
0.08,O,0.0,O
0.085,O,0.0,O
0.09,O,0.0,O
0.095,O,0.0,O
0.1,O,0.0,O
0.005,Treat all,0.00626483621020291,O
0.01,Treat all,0.0012459717466180749,O
0.015,Treat all,-0.003823845655683354,O
0.02,Treat all,-0.008945395888620518,O
0.025,Treat all,-0.014119474841895492,O
0.03,Treat all,-0.019346894815307325,O
0.035,Treat all,-0.024628484943884046,O
0.04,Treat all,-0.02996509163630011,O
0.045,Treat all,-0.03535757902706608,O
0.05,Treat all,-0.04080682944299801,O
0.055,Treat all,-0.04631374388449535,O
0.06,Treat all,-0.05187924252217883,O
0.065,Treat all,-0.057504265209463216,O
0.07,Treat all,-0.06318977201166465,O
0.075,Treat all,-0.06893674375226821,O
0.08,Treat all,-0.07474618257700881,O
0.085,Treat all,-0.08061911253644602,O
0.09,Treat all,-0.08655658018774517,O
0.095,Treat all,-0.09255965521640674,O
0.1,Treat all,-0.09862943107872013,O
0.005,Treat none,0.0,O
0.01,Treat none,0.0,O
0.015,Treat none,0.0,O
0.02,Treat none,0.0,O
0.025,Treat none,0.0,O
0.03,Treat none,0.0,O
0.035,Treat none,0.0,O
0.04,Treat none,0.0,O
0.045,Treat none,0.0,O
0.05,Treat none,0.0,O
0.055,Treat none,0.0,O
0.06,Treat none,0.0,O
0.065,Treat none,0.0,O
0.07,Treat none,0.0,O
0.075,Treat none,0.0,O
0.08,Treat none,0.0,O
0.085,Treat none,0.0,O
0.09,Treat none,0.0,O
0.095,Treat none,0.0,O
0.1,Treat none,0.0,O
0.005,Q,0.006264836210202911,Q
0.01,Q,0.002223642379442679,Q
0.015,Q,0.0009453202610528644,Q
0.02,Q,0.00015257043622280434,Q
0.025,Q,-9.303848393044913e-05,Q
0.03,Q,0.0,Q
0.035,Q,0.0,Q
0.04,Q,0.0,Q
0.045,Q,0.0,Q
0.05,Q,0.0,Q
0.055,Q,0.0,Q
0.06,Q,0.0,Q
0.065,Q,0.0,Q
0.07,Q,0.0,Q
0.075,Q,0.0,Q
0.08,Q,0.0,Q
0.085,Q,0.0,Q
0.09,Q,0.0,Q
