threshold,nb_model_mean,nb_model_ci_low,nb_model_ci_high
0.005,0.0009636813108996344,-0.000273753742130404,0.002520112718830336
0.01,2.3501119500761738e-05,-0.0003074991571141405,0.0006691651875290234
0.015,-9.87845116137416e-05,-0.00014304031681602663,-5.91839517845242e-05
0.02,-3.315566294873839e-05,-6.609709255021214e-05,-6.609990901047954e-06
0.025,-1.6352240279958594e-05,-4.152514822050521e-05,0.0
0.03,-1.0177462811109634e-05,-3.005352494585099e-05,0.0
0.035,-1.193522840888331e-05,-3.524411647363182e-05,0.0
0.04,0.0,0.0,0.0
0.045,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.055,0.0,0.0,0.0
0.06,0.0,0.0,0.0
0.065,0.0,0.0,0.0
0.07,0.0,0.0,0.0
0.075,0.0,0.0,0.0
0.08,0.0,0.0,0.0
0.085,0.0,0.0,0.0
0.09,0.0,0.0,0.0
0.095,0.0,0.0,0.0
0.1,0.0,0.0,0.0
