threshold,nb_model_mean,nb_model_ci_low,nb_model_ci_high
0.005,0.0003025934695559633,-0.000612008562764219,0.0015577177666266128
0.01,0.00033693512135971943,-0.00029114634143920833,0.0013007283204716446
0.015,-9.34872418571977e-05,-0.00013810614538812497,-5.4255176126129836e-05
0.02,-3.314906052537164e-05,-6.609868977400815e-05,-6.610198503373667e-06
0.025,0.0,0.0,0.0
0.03,0.0,0.0,0.0
0.035,0.0,0.0,0.0
0.04,0.0,0.0,0.0
0.045,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.055,0.0,0.0,0.0
0.06,0.0,0.0,0.0
0.065,0.0,0.0,0.0
0.07,0.0,0.0,0.0
0.075,0.0,0.0,0.0
0.08,0.0,0.0,0.0
0.085,0.0,0.0,0.0
0.09,0.0,0.0,0.0
0.095,0.0,0.0,0.0
0.1,0.0,0.0,0.0
