threshold,nb_model_mean,nb_model_ci_low,nb_model_ci_high
0.005,0.0006592304141693887,-0.0008772120836359659,0.0022982904783691582
0.01,0.0005170324834715052,-0.00071090883124996,0.002074750978972979
0.015,0.00020358419999963066,-0.0007209650699875563,0.0013897266734172328
0.02,0.00012574462116879975,-0.0005532113416836439,0.0010911034990395186
0.025,0.000338863651262909,-0.00032441827279549126,0.0012852993532960193
0.03,0.0001058933111220844,-0.00030189937813657056,0.0009726004201492429
0.035,-0.00013338784438142231,-0.00022288415020625882,-5.245457845275316e-05
0.04,-4.598771808744079e-05,-0.00010544510412253026,0.0
0.045,-3.50916348631111e-05,-8.518204342763559e-05,0.0
0.05,-3.919591964242237e-05,-9.514485552443508e-05,0.0
0.055,0.0,0.0,0.0
0.06,0.0,0.0,0.0
0.065,0.0,0.0,0.0
0.07,0.0,0.0,0.0
0.075,0.0,0.0,0.0
0.08,0.0,0.0,0.0
0.085,0.0,0.0,0.0
0.09,0.0,0.0,0.0
0.095,0.0,0.0,0.0
0.1,0.0,0.0,0.0
