threshold,nb_model_mean,nb_model_ci_low,nb_model_ci_high
0.005,-0.0006402150599959568,-0.0019489518738640681,0.0009913017223940664
0.01,-9.815142548941097e-05,-0.0004490111902435306,0.0005501985370265963
0.015,-8.296484691215118e-05,-0.00012133821282490422,-4.4036569784549807e-05
0.02,-1.5434410132996702e-05,-4.4253957427409473e-05,0.0
0.025,0.0,0.0,0.0
0.03,0.0,0.0,0.0
0.035,0.0,0.0,0.0
0.04,0.0,0.0,0.0
0.045,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.055,0.0,0.0,0.0
0.06,0.0,0.0,0.0
0.065,0.0,0.0,0.0
0.07,0.0,0.0,0.0
0.075,0.0,0.0,0.0
0.08,0.0,0.0,0.0
0.085,0.0,0.0,0.0
0.09,0.0,0.0,0.0
0.095,0.0,0.0,0.0
0.1,0.0,0.0,0.0
