threshold,nb_model_mean,nb_model_ci_low,nb_model_ci_high
0.02,0.10704273446825047,0.09121175925652103,0.12436910994044563
0.03,0.09879538750968997,0.0832058775895476,0.11589221092093924
0.04,0.0926792454547189,0.07708558296797778,0.10908961094725265
0.05,0.08653538924842362,0.07096818959279717,0.10313877763458396
0.06,0.08311072326065423,0.06768590425697882,0.0994185005230112
0.07,0.07747718528677179,0.0632263666609228,0.09298189352186757
0.08,0.0701689760712256,0.05657196950377905,0.08564592397113047
0.09,0.06675705513928903,0.053289375676809275,0.08158090994314961
0.1,0.06365482056217521,0.05059553447048486,0.07832835282811182
0.11,0.060725903765857,0.048149578735287496,0.07514155889390962
0.12,0.05778571391410763,0.04528494756106804,0.07199344431954918
0.13,0.05483906437964551,0.0425485468380841,0.06924110771809967
0.14,0.05290828397786162,0.04117546757349076,0.06695583856872252
0.15,0.04863845615507663,0.03610105246822259,0.061965507479722744
0.16,0.04894687512480005,0.03676176669777479,0.061772248660396156
0.17,0.04917360669633366,0.037287703532616914,0.06200433219653782
0.18,0.04784835174344415,0.03633116461699187,0.060201697134551514
0.19,0.04696159137533676,0.035162836555669826,0.059242020310811584
0.2,0.0466960901885843,0.035518670658164365,0.058450266399119426
0.21,0.044755831121438744,0.03346020353110172,0.05611503799780587
0.22,0.04269597834123541,0.03129261397541064,0.054277353170921167
0.23,0.04130243895539271,0.029729447929599463,0.05260972742550554
0.24,0.03991877955080582,0.029088975650679173,0.05120370846786592
0.25,0.038530866133642545,0.027874758118544573,0.04993143051736173
0.26,0.03886840113544852,0.02802361383907501,0.050021947749513254
0.27,0.035932315372267494,0.025523212537795065,0.04758849442130174
0.28,0.03306173228686222,0.02320971731202575,0.04393408275965824
0.29,0.028926877805157205,0.019464563126377378,0.0382042083142399
0.3,0.02779014730717734,0.018486939166685194,0.03728648417688341
0.31,0.02740764903810378,0.018286245357238613,0.03643120485528101
0.32,0.02598148088819684,0.01689358213861066,0.03435261001147937
0.33,0.023725430543096594,0.014718890050962193,0.03237698605015203
0.34,0.022168028312843837,0.013043847342774589,0.031092349544886717
0.35,0.02131898387148065,0.011941853186925672,0.030069138179200254
