threshold,nb_model_mean,nb_model_ci_low,nb_model_ci_high
0.02,0.10602239285957822,0.09023847659451108,0.1230618288971792
0.03,0.09662081909400903,0.0804864496418646,0.11350105782588175
0.04,0.08800108514892975,0.07169798621316838,0.10546266303757752
0.05,0.08128276760362373,0.06556446939256637,0.09873688353657074
0.06,0.07370057847185721,0.05783906781964375,0.08958895981712457
0.07,0.06977425308915601,0.05483225416660572,0.08500135588072445
0.08,0.06841267056925023,0.05383137285539814,0.08275374504779306
0.09,0.06338202926263525,0.04935786618696409,0.07720432363385546
0.1,0.05334866799483965,0.04079286691377971,0.06655058820949569
0.11,0.04892162495326969,0.03692877806719969,0.061377300435706834
0.12,0.046207562790859455,0.03480318265460636,0.05821978969960899
0.13,0.0453898534644978,0.0341590212978395,0.05681362227460995
0.14,0.041809184331116356,0.0307817597149,0.052705379054251975
0.15,0.03839994842259513,0.0278133787846929,0.04953161734528329
0.16,0.035848401021181496,0.025282264095614147,0.047285407838176315
0.17,0.03455993235680896,0.02419095726885767,0.04599577000764189
0.18,0.033758583134510196,0.02324463372760147,0.04529704585174062
0.19,0.030677944411369062,0.020613457588924102,0.04166761642687162
0.2,0.027443156695867145,0.017568644837305455,0.037672750255960924
0.21,0.026658846838748487,0.017304070884101887,0.037161055795117824
0.22,0.022053939615522794,0.01305195906117069,0.032109518863994546
0.23,0.018234143716703833,0.009383188054446582,0.028142982760099484
0.24,0.016604292370765626,0.00752020221117808,0.02571786200420763
0.25,0.015020804432805781,0.006162744960868253,0.02399113440942154
0.26,0.014362076593360655,0.005650194944033143,0.023228690201831784
0.27,0.013574371945201802,0.0047443232744326744,0.02251126790308476
0.28,0.013135338112416219,0.004395530545742475,0.02186293901392599
0.29,0.013115183371259822,0.004135269860927222,0.02196608656495237
0.3,0.010692161014292292,0.002023047167713702,0.0194393811532662
0.31,0.00957826935414701,0.0006862942646795637,0.018178887233745375
0.32,0.007929323629934707,-0.0003864597260661719,0.016343682382738013
0.33,0.009313886944277061,0.0014967004520043176,0.017583794746162607
0.34,0.009647192125955755,0.001799801347177248,0.018067182550808226
0.35,0.007787511036449203,-0.000295990479261302,0.016080431589914512
