threshold,strategy,net_benefit,model
0.02,O,0.002562223920017967,O
0.03,O,0.0016665783591039954,O
0.04,O,0.0012846655961476555,O
0.05,O,0.0001201827791670303,O
0.06,O,0.00029108627136984833,O
0.07,O,0.0005712495481444914,O
0.08,O,0.0009550694108298281,O
0.09,O,0.0008125136932230737,O
0.1,O,0.0010756289590135447,O
0.11,O,0.0007325051960237951,O
0.12,O,0.0004469682728929732,O
0.13,O,0.00011948817131827869,O
0.14,O,0.00010234974509489621,O
0.15,O,0.00014137999046185225,O
0.16,O,0.00012791048363376952,O
0.17,O,0.00017977619908262786,O
0.18,O,0.0001703558563700693,O
0.19,O,0.0001607029126028796,O
0.2,O,0.00015080864524151018,O
0.21,O,0.00014066389009884027,O
0.22,O,0.00013025901302943522,O
0.23,O,0.00011958387941277292,O
0.24,O,0.00010862782122725108,O
0.25,O,0.00020423768899290506,O
0.26,O,0.0001984615761549164,O
0.27,O,0.00019252721365013356,O
0.28,O,0.00018642800774244006,O
0.29,O,0.0003110957764956948,O
0.3,O,0.0003110957764956948,O
0.31,O,0.0003110957764956948,O
0.32,O,0.0003110957764956948,O
0.33,O,0.0003110957764956948,O
0.34,O,0.0003110957764956948,O
0.35,O,0.0003110957764956948,O
0.02,Treat all,-0.006537760957400128,O
0.03,Treat all,-0.01691443890541456,O
0.04,Treat all,-0.027507297644012635,O
0.05,Treat all,-0.038323163935002236,O
0.06,Treat all,-0.049369155040693745,O
0.07,Treat all,-0.060652694342206596,O
0.08,Treat all,-0.07218152797636099,O
0.09,Treat all,-0.08396374256950781,O
0.1,Treat all,-0.09600778415361347,O
0.11,Treat all,-0.10832247835758665,O
0.12,Treat all,-0.12091705197528649,O
0.13,Treat all,-0.13380115602097947,O
0.14,Treat all,-0.14698489039331644,O
0.15,Treat all,-0.16047883028029664,O
0.16,Treat all,-0.17429405445030016,O
0.17,Treat all,-0.1884421755882556,O
0.18,Treat all,-0.20293537285152696,O
0.19,Treat all,-0.2177864268373483,O
0.2,Treat all,-0.23300875717281516,O
0.21,Treat all,-0.24861646295981282,O
0.22,Treat all,-0.2646243663310925,O
0.23,Treat all,-0.28104805940032745,O
0.24,Treat all,-0.29790395491875277,O
0.25,Treat all,-0.3152093409843362,O
0.26,Treat all,-0.3329824401868272,O
0.27,Treat all,-0.35124247361404404,O
0.28,Treat all,-0.3700097301920169,O
0.29,Treat all,-0.38930564188486216,O
0.3,Treat all,-0.4091528653403602,O
0.31,Treat all,-0.42957537063514806,O
0.32,Treat all,-0.45059853785037085,O
0.33,Treat all,-0.4722492622958988,O
0.34,Treat all,-0.4945560693003821,O
0.35,Treat all,-0.5175492395973109,O
0.02,Treat none,0.0,O
0.03,Treat none,0.0,O
