Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.009,0.998,0.901,0.395
O,0.01,0.017,0.996,0.504,0.816
O,0.02,--,0.994,0.000,1.000
O,0.05,--,0.994,0.000,1.000
O+Q,0.005,0.010,0.999,0.901,0.441
O+Q,0.01,0.013,0.995,0.402,0.815
O+Q,0.02,0.016,0.994,0.051,0.981
O+Q,0.05,--,0.994,0.000,1.000
S,0.005,0.008,0.997,0.853,0.303
S,0.01,0.009,0.994,0.151,0.903
S,0.02,--,0.994,0.000,1.000
S,0.05,--,0.994,0.000,1.000
O+S,0.005,0.009,0.998,0.901,0.381
O+S,0.01,0.015,0.996,0.404,0.832
O+S,0.02,--,0.994,0.000,1.000
O+S,0.05,--,0.994,0.000,1.000
O+Q+S,0.005,0.009,0.999,0.901,0.419
O+Q+S,0.01,0.016,0.996,0.453,0.832
O+Q+S,0.02,0.000,0.994,0.000,0.987
O+Q+S,0.05,--,0.994,0.000,1.000
