Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.056,--,1.000,0.000
O,0.01,0.056,--,1.000,0.000
O,0.02,0.062,0.981,0.958,0.133
O,0.05,0.134,0.965,0.514,0.802
O+Q,0.005,0.056,--,1.000,0.000
O+Q,0.01,0.057,1.000,1.000,0.002
O+Q,0.02,0.063,0.980,0.944,0.164
O+Q,0.05,0.127,0.964,0.511,0.791
S,0.005,0.056,--,1.000,0.000
S,0.01,0.056,--,1.000,0.000
S,0.02,0.056,--,1.000,0.000
S,0.05,0.121,0.951,0.212,0.908
O+S,0.005,0.056,--,1.000,0.000
O+S,0.01,0.056,--,1.000,0.000
O+S,0.02,0.059,0.994,0.994,0.056
O+S,0.05,0.152,0.965,0.500,0.834
O+Q+S,0.005,0.056,--,1.000,0.000
O+Q+S,0.01,0.056,--,1.000,0.000
O+Q+S,0.02,0.062,0.987,0.975,0.118
O+Q+S,0.05,0.136,0.965,0.516,0.804
