Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.014,0.996,0.074,0.978
O,0.01,--,0.996,0.000,1.000
O,0.02,--,0.996,0.000,1.000
O,0.05,--,0.996,0.000,1.000
O+Q,0.005,0.013,0.997,0.230,0.931
O+Q,0.01,0.000,0.996,0.000,0.997
O+Q,0.02,--,0.996,0.000,1.000
O+Q,0.05,--,0.996,0.000,1.000
S,0.005,0.014,0.998,0.464,0.866
S,0.01,0.021,0.997,0.154,0.971
S,0.02,0.000,0.996,0.000,0.994
S,0.05,--,0.996,0.000,1.000
O+S,0.005,0.021,0.998,0.615,0.883
O+S,0.01,0.030,0.997,0.154,0.980
O+S,0.02,0.000,0.996,0.000,0.998
O+S,0.05,--,0.996,0.000,1.000
O+Q+S,0.005,0.023,0.999,0.693,0.880
O+Q+S,0.01,0.041,0.997,0.230,0.978
O+Q+S,0.02,0.000,0.996,0.000,0.995
O+Q+S,0.05,--,0.996,0.000,1.000
