Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.019,--,1.000,0.000
O,0.01,0.023,0.994,0.910,0.261
O,0.02,0.057,0.987,0.398,0.877
O,0.05,--,0.981,0.000,1.000
O+Q,0.005,0.019,0.994,0.983,0.051
O+Q,0.01,0.027,0.991,0.764,0.489
O+Q,0.02,0.051,0.987,0.379,0.866
O+Q,0.05,0.000,0.981,0.000,0.996
S,0.005,0.019,--,1.000,0.000
S,0.01,0.019,0.990,0.960,0.072
S,0.02,0.031,0.984,0.308,0.821
S,0.05,0.086,0.982,0.027,0.995
O+S,0.005,0.019,--,1.000,0.000
O+S,0.01,0.020,0.990,0.918,0.149
O+S,0.02,0.053,0.987,0.425,0.857
O+S,0.05,--,0.981,0.000,1.000
O+Q+S,0.005,0.019,--,1.000,0.000
O+Q+S,0.01,0.020,0.988,0.855,0.225
O+Q+S,0.02,0.050,0.987,0.408,0.853
O+Q+S,0.05,1.000,0.982,0.019,1.000
