Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.191,0.971,0.907,0.445
O,0.1,0.300,0.943,0.676,0.771
O,0.15,0.410,0.923,0.481,0.900
O,0.2,0.495,0.917,0.411,0.939
O+Q,0.05,0.222,0.971,0.886,0.549
O+Q,0.1,0.354,0.950,0.705,0.814
O+Q,0.15,0.427,0.931,0.543,0.894
O+Q,0.2,0.501,0.924,0.470,0.932
S,0.05,0.148,0.957,0.930,0.225
S,0.1,0.315,0.937,0.626,0.803
S,0.15,0.404,0.923,0.486,0.896
S,0.2,0.468,0.910,0.358,0.941
O+S,0.05,0.199,0.965,0.876,0.488
O+S,0.1,0.336,0.946,0.680,0.805
O+S,0.15,0.426,0.931,0.540,0.894
O+S,0.2,0.547,0.920,0.432,0.948
O+Q+S,0.05,0.220,0.970,0.885,0.546
O+Q+S,0.1,0.382,0.950,0.694,0.837
O+Q+S,0.15,0.501,0.940,0.595,0.914
O+Q+S,0.2,0.548,0.926,0.478,0.943
